koma_id,kanji,page,position,koma,chara_num,whos,eyes,face_direction,eyes_num,page_id,four_komas_id,tobirae_page,wasuu,grade,month,wasuu_page
01-035-8,1,35,L,4,1,"ゆ,",デ,"↓,",2,01-035,01-035-L,False,4,1,04月,8
01-036-1,1,36,R,1,3,"唯,ゆ,縁,","デ,デ","↑,↓,→,",3,01-036,01-036-R,False,4,1,04月,8
01-036-2,1,36,R,2,1,"唯,",詳,"↓,",2,01-036,01-036-R,False,4,1,04月,8
01-036-3,1,36,R,3,0,,n,nan,1,01-036,01-036-R,False,4,1,04月,8
01-036-4,1,36,R,4,3,"ゆ,縁,唯,","デ,デ,隠","←,↓,→,",4,01-036,01-036-R,False,4,1,04月,8
01-036-5,1,36,L,1,2,"縁,ゆ,","デ,デ","←,↓,",3,01-036,01-036-L,False,4,1,04月,8
01-036-6,1,36,L,2,0,,n,nan,1,01-036,01-036-L,False,4,1,04月,8
01-036-7,1,36,L,3,1,"唯,",デ,"←,",2,01-036,01-036-L,False,4,1,04月,8
01-036-8,1,36,L,4,3,"唯,縁,ゆ,","詳,デ,デ","↓,↓,←,",4,01-036,01-036-L,False,4,1,04月,8
01-037-5,1,37,L,1,2,"縁,唯,","デ,デ","←,←,",3,01-037,01-037-L,True,5,1,04月,8
01-037-6,1,37,L,2,2,"唯,ゆ,","詳,デ","↓,↓,",3,01-037,01-037-L,True,5,1,04月,8
01-037-7,1,37,L,3,2,"唯,ゆ,",デ,"↑,→,",2,01-037,01-037-L,True,5,1,04月,8
01-037-8,1,37,L,4,2,"唯,ゆ,",デ,"↓,↑,",2,01-037,01-037-L,True,5,1,04月,8
01-038-1,1,38,R,1,1,"唯,",詳,"↓,",2,01-038,01-038-R,False,5,1,04月,8
01-038-2,1,38,R,2,3,"ゆ,唯,","デ,詳","←,↓,↑,",3,01-038,01-038-R,False,5,1,04月,8
01-038-3,1,38,R,3,2,"唯,ゆ,","詳,デ","↓,↓,",3,01-038,01-038-R,False,5,1,04月,8
01-038-4,1,38,R,4,3,"ゆ,唯,縁,","デ,デ,デ","←,↓,→,",4,01-038,01-038-R,False,5,1,04月,8
01-038-5,1,38,L,1,3,"唯,縁,ゆ,","デ,デ,デ","↓,↓,↓,",4,01-038,01-038-L,False,5,1,04月,8
01-038-6,1,38,L,2,3,"縁,ゆ,唯,","デ,デ,隠","←,↓,→,",4,01-038,01-038-L,False,5,1,04月,8
01-038-7,1,38,L,3,2,"縁,ゆ,","詳,デ","↓,↓,",3,01-038,01-038-L,False,5,1,04月,8
01-038-8,1,38,L,4,3,"縁,唯,ゆ,","デ,デ","↑,↓,↓,",3,01-038,01-038-L,False,5,1,04月,8
01-039-1,1,39,R,1,3,"ゆ,縁,唯,","デ,デ","↓,↑,↓,",3,01-039,01-039-R,False,5,1,04月,8
01-039-2,1,39,R,2,2,"唯,縁,","詳,デ","↓,↓,",3,01-039,01-039-R,False,5,1,04月,8
01-039-3,1,39,R,3,1,"ゆ,",デ,"↓,",2,01-039,01-039-R,False,5,1,04月,8
01-039-4,1,39,R,4,3,"唯,ゆ,縁,","デ,デ","↓,↑,↓,",3,01-039,01-039-R,False,5,1,04月,8
01-039-5,1,39,L,1,3,"唯,ゆ,縁,","デ,デ,デ","↓,→,↓,",4,01-039,01-039-L,False,5,1,04月,8
01-039-6,1,39,L,2,3,"縁,ゆ,唯,","デ,デ,詳","←,↓,→,",4,01-039,01-039-L,False,5,1,04月,8
01-039-7,1,39,L,3,3,"縁,ゆ,唯,",デ,"↑,↓,↑,",2,01-039,01-039-L,False,5,1,04月,8
